unit_number,time_stamp,status,operational_setting_1,operational_setting_2,operational_setting_3,sensor_measurement_1,sensor_measurement_2,sensor_measurement_3,sensor_measurement_4,sensor_measurement_5,sensor_measurement_6,sensor_measurement_7,sensor_measurement_8,sensor_measurement_9,sensor_measurement_10,sensor_measurement_11,sensor_measurement_12,sensor_measurement_13,sensor_measurement_14,sensor_measurement_15,sensor_measurement_16,sensor_measurement_17,sensor_measurement_18,sensor_measurement_19,sensor_measurement_20,sensor_measurement_21
unit_4,6/11/2016 12:00,0,-0.0028,0.0002,High,518.67,642.34,1586.4,1396.67,14.62,21.58,555.36,2387.99,9060.68,1.3,47.14,,2388.03,8134.88,8.3962,0.03,,2388,100,39.02,23.433
unit_4,10/14/2016 12:00,0,-0.0001,0.0002,High,518.67,642.54,1588.71,1408,14.62,21.57,558.93,2388.16,9067.9,1.31,47.62,526,2388.12,8143.13,8.3287,0.03,392,2388,100,39.29,23.4804
unit_3,11/29/2016 12:00,0,-0.001,-0.0003,High,518.67,641.77,1579.61,1400.33,14.62,21.58,554.79,2387.98,,1.3,47.19,523.03,2387.99,8143.56,8.3615,0.03,391,2388,100,39.03,23.423
unit_8,6/9/2016 12:00,0,42.0002,0.84,High,445,549.45,,1118.47,3.91,5.7,138.03,2212,8321.93,1.02,,130.43,2388.04,8083.13,9.3203,0.02,328,2212,100,10.77,6.3209
unit_9,7/21/2017 12:00,0,-0.0029,-0.0001,High,518.67,642.04,1581.97,1408.21,14.62,21.56,559.95,2388.2,9083.86,,47.65,527.34,2388.16,8157.64,8.2905,0.03,395,2388,100,39.37,23.5856
unit_2,6/14/2016 12:00,0,-0.0025,0.0004,High,518.67,642.5,1597.71,1404.77,14.62,21.57,559.31,2388.17,9078.32,1.31,47.4,526.74,2388.15,8160.03,8.318,0.03,394,2388,100,39.16,23.4667
unit_9,6/3/2017 12:00,0,-0.0005,-0.0001,High,518.67,642.47,1587.01,1398.48,,21.56,556.25,2388.1,,1.3,47.37,524.61,2388.02,8146.63,8.3518,0.03,394,2388,100,39.2,23.4689
unit_10,10/14/2017 12:00,0,0.003,0.0011,,518.67,642.45,1582.66,1403.22,14.62,21.58,555.17,2388.02,,1.3,47.28,,2387.97,8146.07,8.3572,0.03,392,2388,100,39.23,23.3905
unit_5,4/27/2014 12:00,0,25.0039,0.62,Low,462.54,536.4,1257.68,1042.55,7.05,9,174.51,,7993.27,0.94,36.33,163.84,2028.11,7873.25,10.8761,0.02,306,1915,84.93,14.25,8.5839
unit_1,2/2/2018 12:00,0,42.0014,0.8412,High,445,549.15,1351.64,1117.96,3.91,5.7,139.11,2212.03,8324.63,1.03,41.72,130.93,,8092.68,9.2995,0.02,329,2212,100,10.61,6.4548
unit_9,8/22/2016 12:00,0,-0.0017,-0.0004,High,518.67,,,1391.99,14.62,21.57,552.6,2387.97,9050.03,1.3,46.93,519.87,2387.89,,8.4175,0.03,391,2388,100,38.89,23.3588
unit_7,4/11/2015 12:00,0,-0.0019,-0.0005,High,518.67,642.93,1588.77,1393.12,14.62,21.59,554.89,2388.03,9048.39,1.3,47.26,522.61,2387.98,8139.82,8.3558,0.03,391,2388,100,39.08,23.515
unit_6,9/10/2015 12:00,0,0.0005,-0.0003,High,518.67,642.13,1579.78,1391.75,14.62,21.58,552.59,2387.89,9042.2,1.3,46.92,520.26,2387.91,8127.04,8.4109,0.03,391,2388,100,39.02,
unit_2,11/20/2015 12:00,0,0.0018,0.0003,High,518.67,641.95,1574.52,,14.62,21.57,552.62,2387.98,9047.02,1.3,47.06,,2387.94,8135.52,8.3987,0.03,391,2388,100,39,23.4643
unit_3,9/29/2016 12:00,0,-0.0001,-0.0002,High,518.67,642.09,1580.49,1384.29,14.62,21.57,553.28,2387.97,9043.65,1.3,47.18,521.48,2387.94,8134.71,8.3867,0.03,390,2388,100,39.09,23.4626
unit_8,11/11/2015 12:00,0,9.9995,0.25,High,489.05,604.34,1491.92,1302,10.52,15.48,394.05,2318.72,8772.1,1.26,45.07,370.68,2387.92,8124.25,8.597,0.03,,2319,100,28.57,17.2481
unit_4,10/29/2015 12:00,0,-0.005,-0.0001,High,518.67,642.36,1584.61,1391.39,14.62,21.59,555.17,2387.95,9052.23,1.3,47.15,522.57,2387.98,8142.72,8.3954,0.03,391,2388,100,39.04,23.4962
unit_7,11/20/2014 12:00,0,0.0015,-0.0003,High,518.67,641.91,1589.55,1393.37,14.62,21.59,554.59,2388.05,9053.37,1.3,47.03,522.65,2388.01,,8.3828,0.03,391,2388,100,39.08,23.5538
unit_6,9/23/2015 12:00,0,-0.0027,0,High,518.67,642.54,1580.06,1398.18,14.62,21.58,552.47,2387.9,9040.09,1.3,,520,2387.94,8129.82,,0.03,391,2388,100,38.91,23.3927
unit_4,2/5/2016 12:00,0,0.0005,0.0004,High,518.67,641.97,1581.39,1393.77,14.62,21.59,554.99,2388.06,9054.42,1.3,47.2,522.82,2388.03,8141.02,8.376,0.03,392,2388,100,39.17,23.4421
unit_4,1/19/2016 12:00,0,0.0024,0.0004,High,518.67,642.5,1581.35,1394.21,14.62,21.59,555.49,2387.97,9054.59,,47.1,522.61,2388.02,8135.03,8.3585,0.03,,2388,100,38.87,
unit_5,7/14/2014 12:00,0,25.0006,0.62,Low,462.54,536.2,1255.58,1034.66,7.05,,175.48,1915.22,7997.81,0.93,36.48,163.63,2028.11,7867.15,10.8655,0.02,306,1915,84.93,14.21,8.5476
unit_9,7/17/2017 12:00,0,-0.0003,-0.0001,High,518.67,642.42,1596.13,1409.95,14.62,21.56,559.56,2388.21,9077.64,1.3,47.36,527.52,,8158.15,8.2911,,394,2388,100,39.1,23.6197
unit_2,6/5/2015 12:00,0,0.0024,0,High,518.67,641.68,1587.49,1392.21,14.62,21.58,551.93,2387.97,9046.56,1.3,47.01,520.47,2387.92,8130.25,8.4,0.03,389,2388,100,38.94,23.4861
unit_5,10/10/2014 12:00,0,10.0059,0.2514,High,489.05,604.14,1490.01,1300.06,10.52,15.46,393.87,2318.65,8763.9,1.26,44.98,370.98,2387.91,8125.13,8.6026,0.03,,2319,100,28.6,17.1587
unit_3,5/7/2016 12:00,0,-0.0039,0.0001,High,518.67,641.94,1579.72,1398.38,14.62,21.58,551.35,2387.02,9030.64,1.3,47.25,519.06,2387.05,8120.95,8.4698,0.03,391,2388,100,38.69,23.264
unit_1,10/25/2018 12:00,1,42.0004,0.8408,High,445,549.99,1361.11,1146.56,3.91,5.7,142.52,2212.48,8378.69,1.05,42.56,133.47,2388.57,,9.0833,0.02,334,2212,100,10.86,6.4898
unit_4,11/14/2015 12:00,0,0.0013,-0.0002,High,518.67,641.97,1583.98,1397.22,14.62,21.59,553.44,2388.01,9050.71,1.3,47.13,522.64,2387.92,8136.3,8.3904,0.03,391,2388,100,39.21,23.468
unit_1,1/2/2018 12:00,0,,0.8411,,449.44,555.16,1370.43,1121.85,,7.98,194.92,2222.95,8348.84,1.02,41.7,183.3,2388.09,8068.96,9.2564,,333,2223,100,14.89,8.9132
unit_4,2/2/2016 12:00,0,0.0007,,,518.67,642.13,,1395.21,,21.59,554.78,2388.04,9062.33,1.3,47.29,,2388.02,,8.3377,0.03,391,,100,39.04,23.4057
unit_6,8/15/2015 12:00,0,0.0013,0.0001,High,518.67,642.19,1585.39,1398.54,14.62,21.58,552.75,2387.92,9045.66,1.3,47.1,520.98,2387.93,8132.41,8.3857,0.03,389,2388,100,39.2,23.4494
unit_6,7/15/2016 12:00,0,-0.0027,0.0001,High,518.67,641.97,,1396.37,14.62,21.51,,2387.95,9058.87,1.3,47.08,521.97,2388.03,8145.33,8.3444,0.03,391,2388,,38.92,23.4405
unit_5,7/23/2014 12:00,0,10.0078,0.25,High,489.05,603.6,1491.29,1294.08,10.52,15.46,393.55,2318.69,8764.21,1.26,44.84,370.5,2387.88,8125.15,8.6598,0.03,369,,100,28.54,17.2544
unit_5,5/27/2014 12:00,0,20.0037,0.7,High,491.19,606.92,1471.68,1229.43,9.35,13.6,332.83,2323.68,,1.07,43.91,312.54,2387.77,8054.82,9.2157,0.02,363,2324,100,24.49,
unit_1,1/8/2018 12:00,0,35.0013,0.84,High,449.44,555.31,1368.21,1117.1,5.48,7.98,194.91,2222.99,8350.17,1.02,,183.62,2388.05,8074.84,9.2261,0.02,333,2223,100,14.87,8.9833
unit_1,9/7/2018 12:00,0,10.0008,0.25,High,489.05,605.3,1503.44,1318.3,10.52,15.47,402.3,2319.32,8817.85,1.27,45.7,,2388.47,8161.75,8.5148,0.03,370,2319,100,28.93,17.4418
unit_10,6/1/2017 12:00,0,34.9988,0.84,High,449.44,555.27,1351.81,1131.67,5.48,7.98,194.49,2222.94,8344.82,1.02,41.64,183.06,2388.08,8069.43,9.3102,0.02,333,2223,100,14.86,8.9359
unit_5,7/8/2014 12:00,0,0.0018,0,High,518.67,641.86,1585.13,1389.56,,21.58,,2387.92,9040.84,1.3,46.98,520.03,2387.9,8126.17,8.3929,0.03,390,2388,100,38.98,23.3302
unit_1,12/2/2017 12:00,0,35.0028,0.8403,High,449.44,555.48,1362.23,1120.7,5.48,7.99,194.82,2222.98,8354.59,,41.7,183.38,,8074.29,9.2518,,333,2223,100,15.1,
unit_7,9/9/2014 12:00,0,-0.0009,-0.0003,High,518.67,641.65,1580.79,1401.64,14.62,21.6,554.04,2387.99,9052.46,1.3,46.82,522.14,2387.99,8135.99,8.3983,0.03,390,2388,100,39.07,23.4964
unit_1,6/14/2017 12:00,0,10.0036,0.2519,High,489.05,604.23,1494.08,1299.95,10.52,15.48,395.47,2318.82,8783.43,1.26,45.24,372.31,2388.08,8134.86,8.5791,0.03,368,2319,100,28.72,17.2123
unit_2,6/16/2016 12:00,0,0.0005,0.0003,High,518.67,642.97,1591.87,1407.02,14.62,21.57,559.36,2388.18,9083.42,1.31,47.51,526.78,2388.15,8150.41,8.3406,0.03,394,2388,100,39.17,23.4337
unit_9,6/28/2017 12:00,0,-0.0019,0,High,518.67,642.67,1590.34,1398.12,14.62,21.56,558.15,2388.11,9075.95,1.3,,525.34,2388.17,8151.16,8.3219,0.03,395,2388,100,39.14,23.5589
unit_9,3/5/2017 12:00,0,-0.004,0.0002,High,518.67,642.04,1575.96,1393.65,,21.56,553.52,2387.97,9046.69,1.3,47.04,521.36,2387.96,8135.31,8.4112,,392,2388,100,38.97,23.4037
unit_9,9/5/2016 12:00,0,0.0003,-0.0003,High,518.67,641.48,1583.97,1390.83,14.62,21.57,552.74,2387.9,9038.61,1.3,46.91,520.81,2387.89,8131.03,8.4184,0.03,390,2388,100,,23.3491
unit_9,12/23/2016 12:00,0,-0.0018,0.0005,High,518.67,641.97,1580.24,1393.04,14.62,21.57,552.4,2387.92,9046.98,1.3,47.05,520.35,2387.98,8132.66,8.4281,0.03,391,2388,100,39.04,23.3587
unit_6,1/23/2016 12:00,0,-0.0015,0,High,518.67,641.24,1575.05,1390.44,14.62,21.56,552.02,2387.93,9045.45,1.3,47.06,520.96,2387.94,8134.02,8.3921,0.03,393,2388,100,38.96,23.3522
unit_1,7/2/2017 12:00,0,20.001,,High,491.19,606.82,1480.95,1245.53,9.35,13.64,336.13,2323.94,8719.16,1.08,44.11,315.73,2388.06,8058.49,9.1508,0.02,363,2324,100,24.51,14.8097
unit_2,5/5/2015 12:00,0,-0.001,0.0001,High,518.67,642.66,1578.36,1398.04,14.62,21.57,550.19,2387.46,9032.02,1.3,47.18,519.16,2387.49,8121.51,8.4458,0.03,390,2388,100,38.91,23.3557
unit_2,8/29/2015 12:00,0,0.0016,0.0001,High,518.67,641.93,1579.97,1403.81,14.62,21.57,551.33,2387.2,9036,1.3,47.25,518.76,2387.22,8119.78,,0.03,389,2388,100,38.82,
unit_5,3/13/2015 12:00,0,0.0014,0.0011,High,518.67,642.16,1583.03,1392.1,,21.58,556.27,2388.08,9068.71,1.3,47.41,524.57,,8147.46,8.3786,0.03,391,2388,100,39.24,23.4444
unit_1,12/5/2017 12:00,0,35.0015,0.8407,High,449.44,554.95,1362.89,1126.09,5.48,7.99,194.91,2222.96,8347.51,1.03,41.58,183.9,2388.06,8070.47,9.2494,0.02,333,2223,100,14.81,8.919
unit_4,10/14/2015 12:00,0,-0.0016,0,High,518.67,642.33,1587.58,,14.62,21.59,554.85,2388,9057.89,1.3,47.17,522.89,2388.02,8137.07,8.3556,0.03,391,2388,100,39.18,23.5155
unit_2,5/28/2016 12:00,0,0.0008,-0.0001,High,518.67,642.55,1587.75,1403.16,14.62,21.56,557.49,2388.12,9071.72,1.3,,525.16,2388.12,8152.17,8.3435,0.03,394,2388,100,39.11,23.5549
unit_4,11/9/2016 12:00,0,-0.0002,0.0003,High,518.67,642.16,,1408.43,14.62,21.57,559.14,2388.18,9077.27,1.31,47.37,527.38,2388.16,8157.12,8.3242,0.03,393,2388,100,39.24,23.6744
unit_8,7/21/2016 12:00,0,19.9984,0.7,High,491.19,606.61,1471.02,1246.05,9.35,13.62,335.52,2323.9,8722.28,1.08,44.08,,2387.99,8065.22,9.1786,0.02,364,2324,100,24.61,14.7332
unit_4,1/29/2017 12:00,0,-0.0013,0.0004,High,518.67,643.64,1603.37,1421.04,14.62,21.57,567.62,2388.51,,1.31,47.98,535.4,2388.49,,8.2071,0.03,395,2388,100,39.65,23.6989
unit_7,12/28/2014 12:00,0,-0.0012,-0.0002,High,518.67,642.49,1582.45,,14.62,21.59,554.07,2387.95,9052.86,1.3,47,521.93,2388.02,8137,8.3771,0.03,391,2388,100,38.97,23.3914
unit_8,10/31/2016 12:00,0,42.0069,0.8401,High,445,549.02,1358.78,1131.21,3.91,5.7,,2212.14,8346.66,1.03,42.19,131.65,2388.27,8104.14,9.242,0.02,330,2212,100,,6.4007
unit_10,5/7/2018 12:00,0,41.9999,0.84,High,,549.5,1356.24,1125.81,3.91,5.69,140.58,2212.2,8338.21,1.03,42.28,132.13,2388.35,8104.37,9.2632,,332,2212,100,10.45,6.4212
unit_9,2/21/2017 12:00,0,-0.0001,-0.0003,High,518.67,642.06,1584.97,1400.02,14.62,21.56,552.98,2387.98,9043.27,1.3,47.07,521.46,2387.99,8135.19,8.4107,,391,2388,100,38.86,23.4104
unit_4,7/9/2016 12:00,0,0.0047,0.0003,High,518.67,642.12,1586.95,1396.44,14.62,21.58,556.57,2388.02,9061.83,1.3,47.26,524.17,2388.07,8139.32,,0.03,392,2388,100,39.12,23.472
unit_9,10/2/2016 12:00,0,-0.0002,-0.0001,High,518.67,641.74,1587.93,1396.98,14.62,21.57,552.46,2387.97,9044.49,1.3,47.08,520.89,2387.93,8136.14,8.399,0.03,390,2388,100,38.79,23.4197
unit_7,11/18/2014 12:00,0,-0.0009,-0.0004,High,,641.93,1582.42,1396.46,,21.59,553.94,2387.95,9052.83,1.3,47,521.28,2388,8131.55,8.3692,0.03,390,2388,100,38.99,23.4076
unit_8,3/29/2016 12:00,0,20.0046,0.7,,491.19,607.15,1475.78,1235.93,9.35,13.63,334.3,2323.85,8718.49,1.08,44.07,314.95,2387.96,8059.26,9.1952,,362,2324,100,24.6,14.7282
unit_8,11/29/2015 12:00,0,0.0026,0.002,High,518.67,642.15,1580.12,1399.05,14.62,,553.76,2387.96,9048.46,1.3,47.07,522.62,2387.96,8130.65,8.4206,0.03,391,2388,100,39.07,23.3348
unit_2,9/21/2015 12:00,0,-0.0044,-0.0005,High,518.67,641.69,1575.72,1392.95,14.62,21.57,552.56,2387.96,9046.55,1.3,47.17,519.8,2387.91,,,0.03,391,2388,100,38.82,23.2913
unit_4,3/12/2016 12:00,0,-0.0017,-0.0001,High,518.67,641.73,1590.73,1396.17,14.62,21.59,555.75,2388.02,,1.3,47.31,523.51,2388,8143.08,8.3712,0.03,391,2388,100,39.18,23.5426
unit_6,2/25/2016 12:00,0,0.0033,0.0001,High,518.67,641.5,1583.43,1389.34,14.62,21.56,552.67,2387.86,9050.17,1.3,47.03,520.21,2387.9,8136.88,8.3828,0.03,391,2388,100,39.06,23.4515
unit_6,12/4/2015 12:00,0,-0.0008,-0.0003,High,518.67,641.87,1578.52,1386.01,14.62,21.57,552.62,2387.93,9040.52,1.3,47.04,520.45,2387.9,8125.64,8.3916,0.03,392,2388,100,38.85,23.2968
unit_8,1/22/2016 12:00,0,25.0005,0.6213,Low,462.54,536.84,1260.03,1043.11,,9.02,175.86,1915.27,7999.41,0.94,36.45,164.46,2028.19,7869.62,10.813,0.02,305,1915,84.93,14.32,8.6005
unit_5,3/14/2015 12:00,0,24.9995,0.62,Low,462.54,536.77,1256.81,1037.4,7.05,9,175.42,1915.44,8011.86,0.94,36.5,164.56,2028.29,7876,10.8029,0.02,304,1915,84.93,14.23,8.512
unit_4,3/4/2016 12:00,0,,-0.0001,High,518.67,642.01,1586.52,1396.69,14.62,21.59,,2388.08,9052.71,1.3,47.31,523.04,2388.04,8138.32,8.3671,0.03,392,2388,100,39,23.4579
unit_10,3/18/2018 12:00,0,42.0027,0.84,High,445,549.57,1356.44,1117.16,3.91,5.69,139,2212.09,8335.49,1.03,42,131.52,2388.18,8098.48,9.2439,0.02,329,2212,100,,6.4371
unit_4,3/9/2016 12:00,0,-0.0025,-0.0002,High,518.67,642.15,1583.99,1396.05,14.62,21.58,554.65,2387.97,9053.12,1.3,47.07,522.77,2388.01,8138.89,8.3574,0.03,392,2388,100,39.36,23.4135
unit_4,12/3/2016 12:00,0,0.0006,0.0003,High,518.67,642.29,1593.08,1410.43,14.62,21.57,,2388.29,9088.34,1.31,47.54,529.15,2388.32,8166.78,8.2984,0.03,393,2388,100,39.2,23.5548
unit_4,12/10/2016 12:00,0,-0.0017,0.0003,High,518.67,642.74,1590.82,1415.24,14.62,21.57,561.56,2388.21,9093.8,1.31,47.72,529.32,2388.26,8172.36,8.2884,0.03,,2388,100,39.52,23.5611
unit_4,1/1/2017 12:00,0,-0.0008,0.0005,High,518.67,643.41,1604.88,,14.62,21.57,,2388.41,9101.09,1.31,47.92,531.47,2388.35,8176.77,8.2705,0.03,394,2388,100,39.43,23.6782
unit_6,10/4/2015 12:00,0,0.0011,0.0002,High,518.67,,1578.68,1388.15,14.62,21.57,552.41,,9042.81,1.3,,,2387.91,8126.22,8.3943,0.03,390,2388,100,39.13,23.4454
unit_6,9/30/2015 12:00,0,0.0006,0,High,518.67,641.95,1577.78,1387.69,14.62,21.58,552.03,2387.98,9053.32,,47.07,520.74,,8128.3,8.3778,0.03,390,2388,100,38.85,23.3909
unit_1,12/29/2017 12:00,0,42.0078,0.84,High,445,549.21,1352.32,,3.91,5.7,139.41,2212.01,8324.17,1.03,41.71,131.18,2388.1,8088.77,9.2691,0.02,330,2212,100,10.64,6.346
unit_1,6/17/2018 12:00,0,34.9981,0.84,High,449.44,555.67,1359.28,1123.01,5.48,7.98,196.45,2223.24,8366.1,1.03,,185.35,,8086.08,9.2019,0.02,335,2223,100,14.96,9.0185
unit_5,4/8/2014 12:00,0,0.0018,0.0016,High,518.67,642.33,1575.58,1393.76,14.62,21.58,551.06,2387.58,9037.27,1.3,47.09,518.83,2387.57,8122.44,,0.03,390,2388,100,38.91,23.3444
unit_2,6/24/2015 12:00,0,0.0022,,High,518.67,642.44,1574.71,1398.22,14.62,21.57,550.94,2387.55,9034.87,1.3,47.16,,2387.52,8118.72,8.4501,0.03,390,2388,100,38.74,23.2933
unit_8,4/4/2016 12:00,0,42.0017,,High,445,548.65,1351.3,1118.7,3.91,5.7,138.71,2211.94,8311.68,1.02,41.8,130.23,2387.99,8083.77,9.3482,0.02,329,2212,100,10.5,6.3652
unit_7,1/3/2015 12:00,0,0.0013,-0.0005,High,518.67,641.95,1580.26,1396.16,14.62,21.59,554.17,2388,9058.72,1.3,46.95,523.03,2388.05,8138.01,8.3707,0.03,393,2388,100,38.89,23.4134
unit_9,9/9/2016 12:00,0,0.0008,0.0005,High,,641.86,1590.6,1391.75,14.62,21.57,552.81,2387.93,9038.04,1.3,47.09,519.62,2387.88,8131.5,8.4263,0.03,390,2388,100,39.01,23.3451
unit_5,9/16/2014 12:00,0,0.003,0,High,518.67,641.99,1578.51,1397.37,14.62,21.57,552.37,2387.95,9050.46,1.3,47.03,521.1,2387.91,8126.19,8.3873,0.03,390,2388,100,39.15,23.4422
unit_6,3/24/2016 12:00,0,-0.003,-0.0001,High,518.67,641.93,1583.91,1391.04,14.62,,552.97,2387.95,9056.17,1.3,46.95,520.76,2387.93,8127.66,8.3732,0.03,389,2388,100,38.85,23.4228
unit_8,6/11/2016 12:00,0,25.0027,0.62,,462.54,536.37,1254.41,1048.39,7.05,9.01,175.76,,,0.94,36.6,164.52,2028.19,7873.11,10.8366,0.02,308,1915,84.93,14.39,8.6619
unit_7,3/10/2015 12:00,0,0.0008,-0.0001,High,518.67,642.28,1581.74,1387.77,14.62,21.59,554.81,2388.04,9052.25,1.3,47.05,522.83,2388.02,,8.3846,0.03,392,2388,100,38.97,23.4816
unit_2,9/25/2015 12:00,0,-0.0023,0.0003,High,518.67,642.09,1578.42,1406.07,14.62,21.57,549.9,2387.08,9037.94,1.3,47.28,519.28,2387.13,8113.98,8.4645,0.03,,2388,100,38.79,23.2036
unit_9,2/5/2017 12:00,0,0.0005,0.0003,High,518.67,641.29,1583.08,1393.83,14.62,21.57,553.28,2388,9049.23,1.3,,521.26,2387.94,8134.81,8.4025,0.03,391,2388,100,39.05,23.3973
unit_2,2/28/2016 12:00,0,-0.0006,0,High,518.67,641.58,1591.32,1392.38,14.62,21.57,554.78,2388,,1.3,47.23,522,2388,8139.52,8.372,0.03,392,2388,100,39.04,23.4858
unit_6,,0,-0.0019,-0.0002,,518.67,642.39,1579.05,1393,14.62,21.57,552.89,2387.86,9049.74,,47.15,520.51,2387.92,8134.53,8.3822,0.03,389,2388,100,39.09,23.2749
unit_10,8/14/2017 12:00,0,,0.84,,449.44,554.49,1358.12,1120.95,,7.98,194.88,2222.91,8341.63,1.02,41.61,183.16,2387.99,8067.61,9.2769,0.02,333,2223,100,14.77,8.9051
unit_8,3/21/2016 12:00,0,10.0006,0.2509,High,489.05,604.08,1491.01,1295.4,10.52,15.47,,2318.72,8773.42,1.26,45.12,371.49,2387.9,,8.5802,0.03,369,2319,100,28.73,
unit_1,8/17/2018 12:00,0,35.0037,0.8404,High,449.44,555.66,1368.49,,5.48,7.98,197.48,2223.38,8383.28,1.03,42.07,185.78,2388.44,8097.96,,0.02,336,2223,100,14.9,9.0331
unit_1,6/9/2018 12:00,0,41.9997,0.84,High,445,549.21,,1120.78,3.91,5.7,139.62,2212.1,8340.28,1.03,42.1,131.33,2388.19,8101.93,9.2797,0.02,331,2212,100,10.91,
unit_5,8/1/2014 12:00,0,,0.84,High,445,548.04,1346.69,1117.33,3.91,5.69,137.67,2211.89,8311.15,1.02,41.45,129.74,2388.01,8079.62,9.3481,0.02,328,,100,10.62,6.3727
unit_4,3/26/2016 12:00,0,-0.0014,-0.0001,High,518.67,642.13,1577.82,1396.12,,21.59,555.39,2387.96,9062.4,1.3,47.21,523.53,2388.04,,8.3568,0.03,392,2388,100,39.28,23.4918
unit_8,7/20/2016 12:00,0,0.0019,0.0014,High,518.67,642.11,1582.44,1400.61,14.62,,555.61,2388.04,9061.13,1.3,47.22,523.1,2388.04,8137.89,8.3674,0.03,392,2388,100,39.13,23.4385
unit_6,9/10/2016 12:00,0,0.0009,0.0005,,518.67,642.35,1590.32,1406.33,14.62,21.48,558.48,2388.13,9083.38,1.3,47.74,525.61,2388.13,8160.35,,0.03,393,2388,100,39.09,
unit_4,6/9/2016 12:00,0,-0.0003,-0.0002,High,518.67,642.31,1584.56,1393.23,14.62,21.58,555.49,2388.02,9056.82,1.3,47.24,523.77,,8143.53,8.4116,0.03,392,2388,100,39.05,23.4954
unit_7,8/7/2014 12:00,0,0.0016,0.0002,,518.67,641.88,1577.35,1394.25,14.62,21.59,554.18,2388,9048.36,1.3,47.07,522.21,2387.95,8129.63,8.382,0.03,391,2388,100,39.11,23.4637
unit_3,4/5/2017 12:00,0,0.0022,0.0004,High,518.67,642.65,1601.14,1416.12,14.62,21.57,564.11,2388.27,9097.53,1.31,47.78,530.44,2388.35,8172.1,8.2811,0.03,394,2388,100,39.45,23.6924
unit_8,7/30/2016 12:00,0,42.0004,0.84,High,445,549.17,1347.37,1121.11,,5.7,138.79,2212.02,8319.67,1.02,41.76,131.02,2388.12,8084.02,9.3053,0.02,329,2212,100,10.57,6.4065
unit_1,5/25/2018 12:00,0,10.0018,0.2501,High,489.05,604.92,,1306.11,10.52,15.47,,2318.96,8793.44,1.26,,374.67,2388.2,8146.45,8.5753,0.03,369,2319,100,28.67,17.2376
unit_10,9/11/2017 12:00,0,42.0013,0.84,,445,549.17,1345.29,1113.84,3.91,5.69,138.73,2212,8323.1,1.02,41.88,130.85,2388.04,8084.28,9.307,0.02,329,2212,100,10.63,6.4115
unit_8,6/30/2016 12:00,0,,0.0011,High,518.67,642.03,1584.14,1394.22,14.62,21.59,555.81,2388.01,9051.7,1.3,47.27,523.86,2388.05,8141.16,8.4033,0.03,392,2388,100,38.98,23.5423
unit_8,9/7/2016 12:00,0,20.0064,0.7,High,491.19,606.95,1481.37,1246.56,9.35,13.63,336.82,2324.02,8734.72,1.08,44.28,316.25,2388.18,8074.52,9.1192,0.02,366,2324,100,24.75,14.7428
unit_1,3/4/2018 12:00,0,10.0003,0.2504,High,489.05,604.56,1492.7,1300.6,10.52,15.47,396.64,2318.95,8775.25,1.26,45.1,373.17,2388.07,8135.52,8.5706,0.03,,2319,,28.94,17.2888
unit_9,2/22/2017 12:00,0,-0.001,-0.0002,High,518.67,642.03,1574.36,,14.62,21.57,553.86,2387.96,9047.76,1.3,,521.18,2387.97,8136.8,8.3876,0.03,393,2388,100,,23.3646
unit_1,7/14/2017 12:00,0,20.0064,0.7014,High,491.19,606.97,1481.19,1236.87,9.35,13.63,334.52,2323.89,8718.39,1.08,44.12,315.86,2388,8064,,0.02,364,2324,,24.64,14.7084
unit_8,7/11/2016 12:00,0,35.0031,0.84,High,,555.2,1359.42,1121.78,5.48,7.98,195.36,2222.96,8352.2,1.02,41.56,183.32,2388.08,8067.51,9.2392,0.02,331,2223,100,14.88,8.9589
unit_9,8/15/2016 12:00,0,0.0002,-0.0001,High,518.67,642.3,1580.61,1390.92,14.62,21.58,553.41,2387.91,9044.51,1.3,47.03,521.4,2387.97,8134.39,8.411,,390,2388,100,39.03,23.3435
unit_10,3/26/2018 12:00,0,42.0074,0.84,High,445,549.37,1354.18,1119.29,3.91,5.69,139.72,2212.11,8332.95,1.03,41.8,131.34,2388.19,8095.21,9.2883,0.02,330,2212,100,10.51,6.4405
unit_5,5/24/2014 12:00,0,25.0047,0.62,Low,462.54,536.28,1256.62,1037.52,7.05,9.01,175.61,,7992.97,0.94,36.35,163.97,2028.15,7865.2,10.87,0.02,304,,84.93,14.18,8.5594
unit_2,10/28/2015 12:00,0,-0.0002,-0.0003,High,518.67,642.27,1580.61,1390.1,14.62,21.57,552.29,2387.96,9046.42,,46.96,520.4,2387.91,8131.55,8.4238,0.03,389,2388,,38.9,23.3742
unit_4,4/12/2016 12:00,0,-0.0022,,High,518.67,642.07,1579.43,1397.07,14.62,21.58,555.91,2388,9058.44,1.3,47.25,522.99,2387.98,8137.98,8.3733,0.03,392,2388,100,39.06,23.5205
unit_7,10/3/2014 12:00,0,-0.0035,-0.0004,High,518.67,641.67,1577.64,1392.11,14.62,21.59,554.57,2388,9044.78,1.3,47.22,522.8,2387.94,8132.97,8.3828,0.03,391,2388,100,38.98,23.4416
unit_6,1/2/2016 12:00,0,0.0007,-0.0003,High,518.67,641.74,1582.72,1389.22,14.62,21.57,552.53,2387.94,9050.59,1.3,47.07,,2387.9,8131.84,8.3831,0.03,390,2388,100,38.93,23.2775
